Ticker,Nazwa,Kwartały,Udział zysku netto w przepływach operacyjnych,Wskaźnik źródeł finansowania inwestycji
08N,08OCTAVA,2020/Q2,"-98,59%",
08N,08OCTAVA,2020/Q3,"-68,49%",
08N,08OCTAVA,2020/Q4,"17,25%",
08N,08OCTAVA,2021/Q1,"37,90%",
08N,08OCTAVA,2021/Q2,"29,03%","-32,89%"
08N,08OCTAVA,2021/Q3,"30,69%","-53,25%"
08N,08OCTAVA,2021/Q4,"-368,65%","482,49%"
08N,08OCTAVA,2022/Q1,"-10 620,00%","-615,92%"
08N,08OCTAVA,2022/Q2,"-350,00%","-44,37%"
08N,08OCTAVA,2022/Q3,"-2 822,45%","-21,86%"
08N,08OCTAVA,2022/Q4,"1 259,74%",
08N,08OCTAVA,2023/Q1,"592,73%",
08N,08OCTAVA,2023/Q2,"525,57%",
08N,08OCTAVA,2023/Q3,"444,04%",
08N,08OCTAVA,2023/Q4,"-112,30%",
08N,08OCTAVA,2024/Q1,"90,81%",
08N,08OCTAVA,2024/Q2,"110,31%",
08N,08OCTAVA,2024/Q3,"159,76%",
08N,08OCTAVA,2024/Q4,"372,53%",
08N,08OCTAVA,2025/Q1,"274,99%",
11B,11BIT,2009/Q4,,
11B,11BIT,2010/Q4,"32,77%","9,08%"
11B,11BIT,2011/Q3,"-89,79%","9,08%"
11B,11BIT,2011/Q4,"368,38%","11,41%"
11B,11BIT,2012/Q1,"493,45%","11,41%"
11B,11BIT,2012/Q2,"374,64%","11,41%"
11B,11BIT,2012/Q3,"319,03%","3,18%"
11B,11BIT,2012/Q4,"-188,64%","5,62%"
11B,11BIT,2013/Q1,"-779,23%","4,97%"
11B,11BIT,2013/Q2,"611,84%","20,82%"
11B,11BIT,2013/Q3,"-183,40%","-47,46%"
11B,11BIT,2013/Q4,"120,29%","70,13%"
11B,11BIT,2014/Q1,"-345,08%","-1 825,00%"
11B,11BIT,2014/Q2,"46,68%","-37,35%"
11B,11BIT,2014/Q3,"145,65%","278,07%"
11B,11BIT,2014/Q4,"243,63%","22,47%"
11B,11BIT,2015/Q1,"126,10%","9,38%"
11B,11BIT,2015/Q2,"242,91%","9,55%"
11B,11BIT,2015/Q3,"106,34%","18,36%"
11B,11BIT,2015/Q4,"61,92%","15,21%"
11B,11BIT,2016/Q1,"81,11%","25,57%"
11B,11BIT,2016/Q2,"48,96%","23,40%"
11B,11BIT,2016/Q3,"76,56%","28,86%"
11B,11BIT,2016/Q4,"102,12%","44,82%"
11B,11BIT,2017/Q1,"66,38%","56,36%"
11B,11BIT,2017/Q2,"69,67%","77,41%"
11B,11BIT,2017/Q3,"57,79%","91,54%"
11B,11BIT,2017/Q4,"40,46%","102,15%"
11B,11BIT,2018/Q1,"51,14%","130,68%"
11B,11BIT,2018/Q2,"89,19%","79,57%"
11B,11BIT,2018/Q3,"82,12%",
11B,11BIT,2018/Q4,"96,17%","107,60%"
11B,11BIT,2019/Q1,"78,02%","104,74%"
11B,11BIT,2019/Q2,"54,73%","121,58%"
11B,11BIT,2019/Q3,"46,53%","130,09%"
11B,11BIT,2019/Q4,"52,13%","123,44%"
11B,11BIT,2020/Q1,"63,12%","70,07%"
11B,11BIT,2020/Q2,"79,61%","85,95%"
11B,11BIT,2020/Q3,"90,83%",
11B,11BIT,2020/Q4,"99,20%","78,82%"
11B,11BIT,2021/Q1,"125,10%","164,58%"
11B,11BIT,2021/Q2,"87,67%","102,39%"
11B,11BIT,2021/Q3,"74,95%","245,67%"
11B,11BIT,2021/Q4,"70,06%","93,47%"
11B,11BIT,2022/Q1,"63,40%","32,88%"
11B,11BIT,2022/Q2,"68,46%","76,72%"
11B,11BIT,2022/Q3,"74,47%","136,84%"
11B,11BIT,2022/Q4,"69,51%","88,26%"
11B,11BIT,2023/Q1,"95,78%","207,73%"
11B,11BIT,2023/Q2,"100,36%","97,30%"
11B,11BIT,2023/Q3,"21,28%","8,10%"
11B,11BIT,2023/Q4,"2,41%","66,90%"
11B,11BIT,2024/Q1,"-14,00%","43,24%"
11B,11BIT,2024/Q2,"-10,25%","82,69%"
11B,11BIT,2024/Q3,"184,85%","123,43%"
11B,11BIT,2024/Q4,"8,96%","60,41%"
11B,11BIT,2025/Q1,"2,77%","63,74%"
1AT,ATAL,2011/Q4,"-211,47%",
1AT,ATAL,2012/Q4,"-55,81%","-2,24%"
1AT,ATAL,2013/Q4,"52,41%",
1AT,ATAL,2014/Q4,"21 129,83%",
1AT,ATAL,2015/Q2,"-116,65%",
1AT,ATAL,2015/Q3,"-182,13%",
1AT,ATAL,2015/Q4,"-30,78%",
1AT,ATAL,2016/Q1,"-49,41%",
1AT,ATAL,2016/Q2,"-65,56%",
1AT,ATAL,2016/Q3,"-47,97%","-0,12%"
1AT,ATAL,2016/Q4,"-115,06%",
1AT,ATAL,2017/Q1,"2 923,19%",
1AT,ATAL,2017/Q2,"1 499,38%",
1AT,ATAL,2017/Q3,"116,18%",
1AT,ATAL,2017/Q4,"86,43%",
1AT,ATAL,2018/Q1,"99,40%","43,62%"
1AT,ATAL,2018/Q2,"94,97%","27,96%"
1AT,ATAL,2018/Q3,"119,09%","0,04%"
1AT,ATAL,2018/Q4,"530,33%",
1AT,ATAL,2019/Q1,"-422,25%",
1AT,ATAL,2019/Q2,"-78,12%",
1AT,ATAL,2019/Q3,"-34,04%",
1AT,ATAL,2019/Q4,"-78,70%",
1AT,ATAL,2020/Q1,"-53,41%",
1AT,ATAL,2020/Q2,"-118,95%",
1AT,ATAL,2020/Q3,"2 516,63%",
1AT,ATAL,2020/Q4,"301,58%",
1AT,ATAL,2021/Q1,"97,89%","0,55%"
1AT,ATAL,2021/Q2,"64,21%","0,24%"
1AT,ATAL,2021/Q3,"57,64%","-0,50%"
1AT,ATAL,2021/Q4,"48,42%","0,28%"
1AT,ATAL,2022/Q1,"47,70%",
1AT,ATAL,2022/Q2,"60,47%",
1AT,ATAL,2022/Q3,"56,05%",
1AT,ATAL,2022/Q4,"165,77%",
1AT,ATAL,2023/Q1,"-347,72%",
1AT,ATAL,2023/Q2,"-175,65%",
1AT,ATAL,2023/Q3,"-97,79%",
1AT,ATAL,2023/Q4,"302,81%",
1AT,ATAL,2024/Q1,"204,28%",
1AT,ATAL,2024/Q2,"110,43%",
1AT,ATAL,2024/Q3,"1 476,94%",
1AT,ATAL,2024/Q4,"-65,47%",
1AT,ATAL,2025/Q1,"-34,19%",
3RG,3RGAMES,2008/Q4,"31,93%",
3RG,3RGAMES,2009/Q4,"88,02%","100,58%"
3RG,3RGAMES,2010/Q4,"77,92%","72,83%"
3RG,3RGAMES,2011/Q4,"90,14%","119,36%"
3RG,3RGAMES,2012/Q1,"64,98%","13,76%"
3RG,3RGAMES,2012/Q2,"48,86%","16,29%"
3RG,3RGAMES,2012/Q3,"50,99%","20,88%"
3RG,3RGAMES,2012/Q4,"-187,04%","27,07%"
3RG,3RGAMES,2013/Q1,"-343,46%","-3 212,32%"
3RG,3RGAMES,2013/Q2,"-542,43%","590,03%"
3RG,3RGAMES,2013/Q3,"-2 455,90%","6 240,40%"
3RG,3RGAMES,2013/Q4,"266,23%","-647,05%"
3RG,3RGAMES,2014/Q1,"178,29%","659,84%"
3RG,3RGAMES,2014/Q2,"588,77%","-953,59%"
3RG,3RGAMES,2014/Q3,"-272,95%","-2 298,68%"
3RG,3RGAMES,2014/Q4,"208,53%","-638,71%"
3RG,3RGAMES,2015/Q1,"-6 842,86%","-46,94%"
3RG,3RGAMES,2015/Q2,"427,54%","-178,14%"
3RG,3RGAMES,2015/Q3,"4 997,02%",
3RG,3RGAMES,2015/Q4,"374,63%",
3RG,3RGAMES,2016/Q1,"253,27%",
3RG,3RGAMES,2016/Q2,"139,67%",
3RG,3RGAMES,2016/Q3,"85,36%",
3RG,3RGAMES,2016/Q4,"-19,05%","-132,89%"
3RG,3RGAMES,2017/Q1,"-28,55%","-382,93%"
3RG,3RGAMES,2017/Q2,"-1,19%","1 212,70%"
3RG,3RGAMES,2017/Q3,"44,30%","-283,18%"
3RG,3RGAMES,2017/Q4,"354,07%","-11,11%"
3RG,3RGAMES,2018/Q1,"305,33%","470,14%"
3RG,3RGAMES,2018/Q2,"345,27%",
3RG,3RGAMES,2018/Q3,"349,29%",
3RG,3RGAMES,2018/Q4,"222,47%",
3RG,3RGAMES,2019/Q1,"204,56%",
3RG,3RGAMES,2019/Q2,"185,08%",
3RG,3RGAMES,2019/Q3,"147,31%",
3RG,3RGAMES,2019/Q4,"69,54%",
3RG,3RGAMES,2020/Q1,"87,40%",
3RG,3RGAMES,2020/Q2,"71,01%","1,04%"
3RG,3RGAMES,2020/Q3,"80,72%",
3RG,3RGAMES,2020/Q4,"141,48%",
3RG,3RGAMES,2021/Q1,"100,56%",
3RG,3RGAMES,2021/Q2,"89,50%",
3RG,3RGAMES,2021/Q3,"43,48%",
3RG,3RGAMES,2021/Q4,"41,10%",
3RG,3RGAMES,2022/Q1,"39,94%",
3RG,3RGAMES,2022/Q2,"39,45%",
3RG,3RGAMES,2022/Q3,"8,25%",
3RG,3RGAMES,2022/Q4,"49,14%",
3RG,3RGAMES,2023/Q1,"65,65%",
3RG,3RGAMES,2023/Q2,"36,06%",
3RG,3RGAMES,2023/Q3,"59,31%",
3RG,3RGAMES,2023/Q4,"67,51%",
3RG,3RGAMES,2024/Q1,"-22,45%",
3RG,3RGAMES,2024/Q2,"235,33%",
3RG,3RGAMES,2024/Q3,"168,06%",
3RG,3RGAMES,2024/Q4,"188,55%",
3RG,3RGAMES,2025/Q1,"90,94%",
4MS,4MASS,2016/Q4,,
4MS,4MASS,2017/Q4,"-22,73%","143,59%"
4MS,4MASS,2018/Q3,"-38,23%","70,72%"
4MS,4MASS,2018/Q4,"-30,40%","125,00%"
4MS,4MASS,2019/Q1,"-65,08%","167,49%"
4MS,4MASS,2019/Q2,"8,08%","219,33%"
4MS,4MASS,2019/Q3,"36,29%","46,83%"
4MS,4MASS,2019/Q4,"23,46%","98,06%"
4MS,4MASS,2020/Q1,"18,68%","90,00%"
4MS,4MASS,2020/Q2,"-4,88%","64,60%"
4MS,4MASS,2020/Q3,"-17,09%","80,27%"
4MS,4MASS,2020/Q4,"-31,16%","69,62%"
4MS,4MASS,2021/Q1,"-24,98%","26,93%"
4MS,4MASS,2021/Q2,"-24,38%","67,60%"
4MS,4MASS,2021/Q3,"-66,85%","72,66%"
4MS,4MASS,2021/Q4,"99,55%","91,22%"
4MS,4MASS,2022/Q1,"68,50%","224,36%"
4MS,4MASS,2022/Q2,"288,76%","130,85%"
4MS,4MASS,2022/Q3,"166,96%","118,84%"
4MS,4MASS,2022/Q4,"120,85%","142,82%"
4MS,4MASS,2023/Q1,"140,36%","73,60%"
4MS,4MASS,2023/Q2,"110,04%","69,97%"
4MS,4MASS,2023/Q3,"96,98%","41,64%"
4MS,4MASS,2023/Q4,"127,69%","63,14%"
4MS,4MASS,2024/Q1,"145,10%","78,69%"
4MS,4MASS,2024/Q2,"139,63%","61,15%"
4MS,4MASS,2024/Q3,"213,68%","167,88%"
4MS,4MASS,2024/Q4,"236,13%","79,26%"
4MS,4MASS,2025/Q1,"158,87%","72,55%"
AAT,ALTA,2004/Q4,"17,38%","101,30%"
AAT,ALTA,2005/Q4,"2 322,11%",
AAT,ALTA,2006/Q1,"-738,61%",
AAT,ALTA,2006/Q2,"-559,10%",
AAT,ALTA,2006/Q3,"29,75%","-2,83%"
AAT,ALTA,2006/Q4,"-148,51%",
AAT,ALTA,2007/Q1,"-57,25%",
AAT,ALTA,2007/Q2,"-43,10%",
AAT,ALTA,2007/Q3,"-51,08%","121,91%"
AAT,ALTA,2007/Q4,"-301,86%","79,38%"
AAT,ALTA,2008/Q1,"172,67%","86,63%"
AAT,ALTA,2008/Q2,"-453,72%","92,23%"
AAT,ALTA,2008/Q3,"-1 069,20%","95,24%"
AAT,ALTA,2008/Q4,"6,72%",
AAT,ALTA,2009/Q1,"10,03%",
AAT,ALTA,2009/Q2,"15,36%",
AAT,ALTA,2009/Q3,"9,98%",
AAT,ALTA,2009/Q4,"-39,78%","-47,29%"
AAT,ALTA,2010/Q1,"202,93%","-89,41%"
AAT,ALTA,2010/Q2,"-54,65%",
AAT,ALTA,2010/Q3,"-424,97%",
AAT,ALTA,2010/Q4,"562,92%",
AAT,ALTA,2011/Q1,"559,72%",
AAT,ALTA,2011/Q2,"506,33%","-2,11%"
AAT,ALTA,2011/Q3,"1 063,14%",
AAT,ALTA,2011/Q4,"-490,87%",
AAT,ALTA,2012/Q1,"-513,32%",
AAT,ALTA,2012/Q2,"-826,84%",
AAT,ALTA,2012/Q3,"-792,04%",
AAT,ALTA,2012/Q4,"-97,08%",
AAT,ALTA,2013/Q1,"-17,82%",
AAT,ALTA,2013/Q2,"-70,05%",
AAT,ALTA,2013/Q3,"-239,38%",
AAT,ALTA,2013/Q4,"59,14%",
AAT,ALTA,2014/Q1,"165,39%",
AAT,ALTA,2014/Q2,"444,13%",
AAT,ALTA,2014/Q3,"624,45%",
AAT,ALTA,2014/Q4,"-1 743,31%",
AAT,ALTA,2015/Q1,"5 433,71%",
AAT,ALTA,2015/Q2,"21 093,59%","89,29%"
AAT,ALTA,2015/Q3,"-4 768,50%","102,33%"
AAT,ALTA,2015/Q4,"535,87%",
AAT,ALTA,2016/Q1,"-885,87%","95,59%"
AAT,ALTA,2016/Q2,"-226,79%","99,93%"
AAT,ALTA,2016/Q3,"-166,11%",
AAT,ALTA,2016/Q4,"-39,45%",
AAT,ALTA,2017/Q1,"66,83%",
AAT,ALTA,2017/Q2,"-208,02%",
AAT,ALTA,2017/Q3,"-380,82%",
AAT,ALTA,2017/Q4,"-549,86%",
AAT,ALTA,2018/Q1,"-578,85%",
AAT,ALTA,2018/Q2,"374,00%",
AAT,ALTA,2018/Q3,"321,17%",
AAT,ALTA,2018/Q4,"391,24%",
AAT,ALTA,2019/Q1,"428,91%",
AAT,ALTA,2019/Q2,"-329,32%",
AAT,ALTA,2019/Q3,"-777 300,00%",
AAT,ALTA,2019/Q4,"-10,34%",
AAT,ALTA,2020/Q1,"-1 128,75%",
AAT,ALTA,2020/Q2,"503,67%",
AAT,ALTA,2020/Q3,"492,14%",
AAT,ALTA,2020/Q4,"-843,23%",
AAT,ALTA,2021/Q1,"-457,38%",
AAT,ALTA,2021/Q2,"3 828,17%","22,65%"
AAT,ALTA,2021/Q3,"-921 200,00%","12,05%"
AAT,ALTA,2021/Q4,"337,27%","39,06%"
AAT,ALTA,2022/Q1,"93,01%","76,04%"
AAT,ALTA,2022/Q2,"-8 155,10%","769,54%"
AAT,ALTA,2022/Q3,"1 292,90%","-8,84%"
AAT,ALTA,2022/Q4,"-264,92%",
AAT,ALTA,2023/Q1,"-46,05%",
AAT,ALTA,2023/Q2,"-237,09%",
AAT,ALTA,2023/Q3,"-185,93%",
AAT,ALTA,2023/Q4,"-384,83%",
AAT,ALTA,2024/Q1,"-648,31%",
AAT,ALTA,2024/Q2,"-449,81%",
AAT,ALTA,2024/Q3,"-452,40%",
AAT,ALTA,2024/Q4,"-443,56%",
AAT,ALTA,2025/Q1,"-68,90%",
ABE,ABPL,2005/Q4,"39,32%","37,65%"
ABE,ABPL,2006/Q4,"-19,29%","-1 525,08%"
ABE,ABPL,2007/Q1,"-39,77%","5 198,82%"
ABE,ABPL,2007/Q2,"-22,85%","-174,65%"
ABE,ABPL,2007/Q3,"-64,07%","52,13%"
ABE,ABPL,2007/Q4,"-380,41%","100,34%"
ABE,ABPL,2008/Q1,"83,88%","88,52%"
ABE,ABPL,2008/Q2,"25,30%","70,32%"
ABE,ABPL,2008/Q3,"53,23%","91,56%"
ABE,ABPL,2008/Q4,"18,08%","134,86%"
ABE,ABPL,2009/Q1,"18,37%","75,08%"
ABE,ABPL,2009/Q2,"63,20%","-161,16%"
ABE,ABPL,2009/Q3,"27,66%","128,55%"
ABE,ABPL,2009/Q4,"1 406,77%","72,21%"
ABE,ABPL,2010/Q1,"-57,32%","-192,40%"
ABE,ABPL,2010/Q2,"-29,26%","-290,29%"
ABE,ABPL,2010/Q3,"-42,76%","-63,82%"
ABE,ABPL,2010/Q4,"-845,42%","115,40%"
ABE,ABPL,2011/Q1,"-431,05%","80,51%"
ABE,ABPL,2011/Q2,"69,66%","345,34%"
ABE,ABPL,2011/Q3,"101,44%","61,49%"
ABE,ABPL,2011/Q4,"-3 131,30%","99,78%"
ABE,ABPL,2012/Q1,"624,47%","85,48%"
ABE,ABPL,2012/Q2,"-166,06%","60,88%"
ABE,ABPL,2012/Q3,"-101,18%","-640,79%"
ABE,ABPL,2012/Q4,"4 514,19%","523,06%"
ABE,ABPL,2013/Q1,"61,72%","550,43%"
ABE,ABPL,2013/Q2,"58,93%","13,63%"
ABE,ABPL,2013/Q3,"83,40%","36,54%"
ABE,ABPL,2013/Q4,"79,22%","31,22%"
ABE,ABPL,2014/Q1,"82,73%","40,40%"
ABE,ABPL,2014/Q2,"173,41%","81,03%"
ABE,ABPL,2014/Q3,"157,46%","81,59%"
ABE,ABPL,2014/Q4,"112,11%","65,97%"
ABE,ABPL,2015/Q1,"-242,35%","119,37%"
ABE,ABPL,2015/Q2,"-67,06%","4 551,42%"
ABE,ABPL,2015/Q3,"-319,01%","65,05%"
ABE,ABPL,2015/Q4,"-94,27%","-35,05%"
ABE,ABPL,2016/Q1,"-186,39%","-868,19%"
ABE,ABPL,2016/Q2,"56,35%","25,44%"
ABE,ABPL,2016/Q3,"181,60%","-454,02%"
ABE,ABPL,2016/Q4,"-1 260,65%","15,97%"
ABE,ABPL,2017/Q1,"39,28%","7,47%"
ABE,ABPL,2017/Q2,"58,72%","3,11%"
ABE,ABPL,2017/Q3,"516,91%","23,32%"
ABE,ABPL,2017/Q4,"87,18%","14,02%"
ABE,ABPL,2018/Q1,"-438,25%","-8,41%"
ABE,ABPL,2018/Q2,"318,83%","-4,68%"
ABE,ABPL,2018/Q3,"49,92%","-61,01%"
ABE,ABPL,2018/Q4,"82,52%","-21,12%"
ABE,ABPL,2019/Q1,"163,55%","-15,51%"
ABE,ABPL,2019/Q2,"1 320,99%","23,86%"
ABE,ABPL,2019/Q3,"20,09%","1,70%"
ABE,ABPL,2019/Q4,"23,10%","2,21%"
ABE,ABPL,2020/Q1,"61,22%","14,06%"
ABE,ABPL,2020/Q2,"120,10%","18,38%"
ABE,ABPL,2020/Q3,"-66,27%","-7,51%"
ABE,ABPL,2020/Q4,"-58,45%","-6,33%"
ABE,ABPL,2021/Q1,"-419,15%","-60,64%"
ABE,ABPL,2021/Q2,"267,50%","14,91%"
ABE,ABPL,2021/Q3,"-195,34%","-873,59%"
ABE,ABPL,2021/Q4,"-3 355,81%","-152,05%"
ABE,ABPL,2022/Q1,"-423,02%","88,31%"
ABE,ABPL,2022/Q2,"-89,10%","-23,12%"
ABE,ABPL,2022/Q3,"83,87%","-53,67%"
ABE,ABPL,2022/Q4,"109,45%","86,65%"
ABE,ABPL,2023/Q1,"113,92%","-53,52%"
ABE,ABPL,2024/Q4,"73,64%","13,92%"
ABE,ABPL,2025/Q1,"85,02%","9,26%"
ABE,ABPL,2025/Q2,"98,84%","10,44%"
ABS,ASSECOBS,2006/Q4,"39,95%",
ABS,ASSECOBS,2007/Q4,"96,18%","336,69%"
ABS,ASSECOBS,2008/Q1,"-142,18%","-558,28%"
ABS,ASSECOBS,2008/Q2,"85,87%","277,28%"
ABS,ASSECOBS,2008/Q3,"61,94%","204,11%"
ABS,ASSECOBS,2008/Q4,"82,54%","27,25%"
ABS,ASSECOBS,2009/Q1,"67,25%","15,64%"
ABS,ASSECOBS,2009/Q2,"74,92%","39,54%"
ABS,ASSECOBS,2009/Q3,"72,28%",
ABS,ASSECOBS,2009/Q4,"57,68%","36,30%"
ABS,ASSECOBS,2010/Q1,"65,56%","36,55%"
ABS,ASSECOBS,2010/Q2,"62,02%","45,81%"
ABS,ASSECOBS,2010/Q3,"76,17%","81,71%"
ABS,ASSECOBS,2010/Q4,"68,91%","39,52%"
ABS,ASSECOBS,2011/Q1,"75,08%","43,51%"
ABS,ASSECOBS,2011/Q2,"88,76%","130,54%"
ABS,ASSECOBS,2011/Q3,"78,78%","79,97%"
ABS,ASSECOBS,2011/Q4,"87,86%",
ABS,ASSECOBS,2012/Q1,"81,26%","283,05%"
ABS,ASSECOBS,2012/Q2,"74,51%",
ABS,ASSECOBS,2012/Q3,"95,41%",
ABS,ASSECOBS,2012/Q4,"90,44%",
ABS,ASSECOBS,2013/Q1,"77,19%",
ABS,ASSECOBS,2013/Q2,"68,88%","47,34%"
ABS,ASSECOBS,2013/Q3,"58,68%","40,97%"
